Area,0-2 years,3-6 years,7-12 years,13-15 years,16-17 years,18-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,50-54 years,55-59 years,60-64 years,65-69 years,70-74 years,75-79 years,80-84 years,85 years or over
Lempaala,0.03499095,0.06360424,0.10286133,0.043695595,0.026717229,0.023312936,0.03499095,0.045203827,0.060717057,0.07795398,0.078902006,0.06864604,0.06377661,0.05946738,0.051452212,0.053606827,0.04675515,0.028785659,0.01719383,0.017366199
Mantta-Vilppula,0.016027246,0.029850746,0.05268957,0.027647,0.023339678,0.019533206,0.032655515,0.036562156,0.03796454,0.04567765,0.05569468,0.05439247,0.06661324,0.07352499,0.09165581,0.09806671,0.089452066,0.05509366,0.047580887,0.045978162
Nokia,0.027559876,0.05163003,0.085364036,0.039251946,0.022668296,0.021773497,0.038506277,0.045157634,0.058042772,0.072985955,0.076505505,0.06752767,0.067438185,0.06311331,0.062099203,0.06305366,0.056581262,0.0327199,0.0249053,0.023115698
Orivesi,0.023316342,0.04001735,0.066587135,0.033076674,0.020713588,0.019303763,0.031883743,0.03849908,0.045981996,0.05736905,0.05379026,0.05444095,0.07135885,0.07396161,0.08209522,0.07688971,0.079384014,0.05270578,0.039258216,0.039366663
Parkano,0.021950843,0.033390015,0.06090586,0.032926265,0.019013759,0.019632092,0.038336683,0.036636267,0.0456021,0.047302518,0.045292936,0.05147627,0.07141753,0.070799194,0.087030455,0.09445046,0.084557116,0.057968773,0.041582935,0.039727934
Pirkkala,0.033353984,0.05669145,0.08684428,0.042544402,0.023234202,0.02354399,0.038672037,0.049153242,0.0639715,0.07429781,0.07992565,0.067172654,0.06856671,0.061751343,0.05369682,0.052819084,0.054574557,0.032424618,0.020497728,0.016263941
Punkalaidun,0.022099448,0.028660221,0.057320442,0.03418508,0.019337017,0.017265193,0.032458562,0.03763812,0.03901934,0.04109116,0.042127073,0.058701657,0.07009669,0.079074584,0.08598066,0.08839779,0.07872928,0.055939227,0.05179558,0.06008287
Palkane,0.022311125,0.03554393,0.06724112,0.03662102,0.023695953,0.01877212,0.027850438,0.03477458,0.04339129,0.049084473,0.058008924,0.057085704,0.07662717,0.082012616,0.07878135,0.08339745,0.07339591,0.05231574,0.041852593,0.037236497
Ruovesi,0.017962711,0.029104138,0.05388813,0.029331515,0.019326966,0.017735334,0.027512506,0.029104138,0.035698045,0.04001819,0.051159617,0.047521602,0.07230559,0.07844475,0.095043205,0.09618008,0.09163256,0.061618917,0.054570258,0.051841747
Sastamala,0.024299217,0.03813233,0.065595716,0.033304937,0.022027504,0.022676565,0.03788893,0.04064744,0.0487607,0.05281733,0.055413574,0.055738103,0.06928725,0.07334388,0.07569673,0.08401282,0.07245142,0.047138046,0.039836112,0.040931404
